datetime,inflow_acft
6/27/01,21684.0982
6/28/01,14332.4873
6/29/01,17972.438
6/30/01,24068.0295
7/1/01,18441.8519
7/2/01,10514.9912
7/3/01,21616.7914
7/4/01,8629.38063
7/5/01,15416.3858
7/6/01,7491.93643
7/7/01,3209.12735
7/8/01,5701.77718
7/9/01,16994.4702
7/10/01,19904.571
7/11/01,16924.7264
7/12/01,12343.4611
7/13/01,13997.5154
7/14/01,18372.9243
7/15/01,1316.74772
7/16/01,15460.8743
7/17/01,14052.8556
7/18/01,12441.0151
7/19/01,12426.9672
7/20/01,9515.11495
7/21/01,12315.4928
7/22/01,7291.62646
7/23/01,7992.5904
7/24/01,14102.3679
7/25/01,6929.52998
7/26/01,6852.5596
7/27/01,5934.02914
7/28/01,2390.4852
7/29/01,7395.98577
7/30/01,9743.03744
7/31/01,9595.22878
8/1/01,8168.05768
8/2/01,7962.26921
8/3/01,537.204544
8/4/01,15415.2558
8/5/01,13071.4002
8/6/01,9396.39479
8/7/01,8155.72319
8/8/01,10982.0293
8/9/01,36206.3382
8/10/01,13894.5024
8/11/01,6610.66157
8/12/01,21863.5344
8/13/01,19910.9812
8/14/01,25711.3212
8/15/01,22774.4428
8/16/01,19867.31
8/17/01,6700.63358
8/18/01,11013.2587
8/19/01,21829.9305
8/20/01,3703.69771
8/21/01,24237.8684
8/22/01,5212.62526
8/23/01,12668.853
8/24/01,15528.7055
8/25/01,14057.9021
8/26/01,13088.1295
8/27/01,14071.8283
8/28/01,6750.7508
8/29/01,14187.6296
8/30/01,6951.3948
8/31/01,9804.65215
9/1/01,11055.5181
9/2/01,8451.15125
9/3/01,11304.9169
9/4/01,11932.9337
9/5/01,3138.35121
9/6/01,17767.9517
9/7/01,6095.93009
9/8/01,4512.70677
9/9/01,3931.59119
9/10/01,10485.4089
9/11/01,10430.343
9/12/01,13414.6267
9/13/01,1801.40571
9/14/01,16393.047
9/15/01,13416.4938
9/16/01,5649.13843
9/17/01,26499.7748
9/18/01,10589.2671
9/19/01,4754.60272
9/20/01,12079.8892
9/21/01,13576.4137
9/22/01,16241.0992
9/23/01,11317.8946
9/24/01,9196.03694
9/25/01,13417.604
9/26/01,13477.1283
9/27/01,10561.8975
9/28/01,10667.264
9/29/01,14872.2303
9/30/01,5955.31086
10/1/01,5959.22269
10/2/01,8494.02921
10/3/01,8483.1951
10/4/01,7228.52765
10/5/01,7183.66577
10/6/01,7250.60027
10/7/01,3055.64408
10/8/01,5879.95175
10/9/01,10423.0162
10/10/01,13400.3373
10/11/01,8822.3856
10/12/01,10246.374
10/13/01,2750.07536
10/14/01,14558.4093
10/15/01,10171.993
10/16/01,8774.63524
10/17/01,7408.89234
10/18/01,14523.9604
10/19/01,11832.0134
10/20/01,11479.5131
10/21/01,14572.6465
10/22/01,7436.46047
10/23/01,14485.7299
10/24/01,7514.10044
10/25/01,7422.24139
10/26/01,13181.2008
10/27/01,8706.36638
10/28/01,11705.2513
10/29/01,11634.5028
10/30/01,8676.38599
10/31/01,8896.46632
11/1/01,13454.126
11/2/01,12108.5585
11/3/01,11686.2847
11/4/01,12422.7405
11/5/01,9336.12969
11/6/01,11973.8874
11/7/01,14936.4485
11/8/01,14372.7414
11/9/01,6317.91468
11/10/01,11388.1192
11/11/01,11869.0397
11/12/01,13441.2144
11/13/01,10574.2665
11/14/01,8952.97608
11/15/01,10379.791
11/16/01,8791.18239
11/17/01,10110.2747
11/18/01,15494.2317
11/19/01,8125.59881
11/20/01,9410.66818
11/21/01,12098.5497
11/22/01,12913.4607
11/23/01,5212.54573
11/24/01,9217.49968
11/25/01,15948.0158
11/26/01,10359.3202
11/27/01,2092.92633
11/28/01,9295.84924
11/29/01,15981.6583
11/30/01,18964.3448
12/1/01,12022.7096
12/2/01,10319.6394
12/3/01,17595.2981
12/4/01,3790.60126
12/5/01,2083.48549
12/6/01,11642.1344
12/7/01,4582.59268
12/8/01,14176.5142
12/9/01,15139.924
12/10/01,172.423919
12/11/01,12827.6972
12/12/01,7223.37556
12/13/01,6961.89399
12/14/01,11332.6593
12/15/01,7695.09687
12/16/01,7369.36906
12/17/01,3054.77572
12/18/01,8647.76398
12/19/01,12185.2878
12/20/01,7616.11212
12/21/01,1969.15136
12/22/01,12346.7178
12/23/01,10211.8929
12/24/01,6172.15683
12/25/01,12451.5213
12/26/01,5832.48366
12/27/01,11904.7617
12/28/01,10516.0985
12/29/01,10558.6432
12/30/01,7650.02188
12/31/01,14871.1998
1/1/02,10953.9995
1/2/02,3484.85417
1/3/02,12244.1674
1/4/02,11479.3898
1/5/02,13140.6955
1/6/02,10107.7846
1/7/02,15015.977
1/8/02,10996.3687
1/9/02,9674.89597
1/10/02,4106.89038
1/11/02,15334.071
1/12/02,2256.74067
1/13/02,15293.0915
1/14/02,8032.00066
1/15/02,13054.0878
1/16/02,7270.15491
1/17/02,9745.24646
1/18/02,2807.37858
1/19/02,9686.67792
1/20/02,5886.16761
1/21/02,8488.87334
1/22/02,14017.0739
1/23/02,11194.9082
1/24/02,5726.3663
1/25/02,5760.2626
1/26/02,9708.16515
1/27/02,10650.3928
1/28/02,6214.35567
1/29/02,6561.33192
1/30/02,13288.5331
1/31/02,6530.65351
2/1/02,13191.6496
2/2/02,5078.40581
2/3/02,9775.29378
2/4/02,6548.12949
2/5/02,13275.925
2/6/02,7373.85063
2/7/02,8532.2805
2/8/02,7493.4349
2/9/02,10752.1822
2/10/02,7317.36801
2/11/02,9639.50276
2/12/02,12217.9898
2/13/02,6655.40221
2/14/02,11967.2099
2/15/02,9265.91747
2/16/02,9340.9216
2/17/02,6268.39491
2/18/02,12019.5961
2/19/02,8069.15213
2/20/02,14743.8169
2/21/02,9329.08573
2/22/02,9396.75265
2/23/02,10741.1074
2/24/02,9040.27681
2/25/02,13560.5069
2/26/02,6710.67763
2/27/02,13061.2798
2/28/02,8902.83047
